Показник,Період,Стать,Територіальний розріз,Категорія розрізу,Розріз,Періодичність,Одиниця виміру,Масштабування,Кількість десяткових знаків,Спеціальне значення даних,Примітки часового ряду,Примітки спостереження,Причина пропуску,Рік,Заробітна плата
"Нараховано в середньому штатному працівнику, за період часу",Місяць,Жінки,Україна,Професії та професійні групи,"Менеджери (управителі) у будівництві, на транспорті, пошті та зв'язку",Річна,Гривня,Одиниці,Нуль,,"1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.",,Немає пропусків,2016,3749.0
"Нараховано в середньому штатному працівнику, за період часу",Місяць,Жінки,Україна,Професії та професійні групи,"Законодавці, вищі державні службовці, вищі посадові особи громадських і самоврядувальних організацій ",Річна,Гривня,Одиниці,Нуль,,"1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.",,Немає пропусків,2016,7166.0
"Нараховано в середньому штатному працівнику, за період часу",Місяць,Жінки,Україна,Рівень освіти,Бакалаврат або його еквівалент,Річна,Гривня,Одиниці,Нуль,,"1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середня заробітна плата штатних працівників за одну оплачену годину  обчислюється шляхом ділення суми нарахованого фонду оплати праці штатних працівників на кількість оплачених їм людино-годин за відповідний період. Освіта – це процес і результат засвоєння людиною систематичних знань, умінь і навичок, розвиток розуму та почуттів, формування світогляду та пізнавальних інтересів.",,Немає пропусків,2016,3701.0
"Нараховано в середньому штатному працівнику, за період часу",Місяць,Жінки,Україна,Рівень освіти,Післясередня не вища освіта,Річна,Гривня,Одиниці,Нуль,,"1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середня заробітна плата штатних працівників за одну оплачену годину  обчислюється шляхом ділення суми нарахованого фонду оплати праці штатних працівників на кількість оплачених їм людино-годин за відповідний період. Освіта – це процес і результат засвоєння людиною систематичних знань, умінь і навичок, розвиток розуму та почуттів, формування світогляду та пізнавальних інтересів.",,Немає пропусків,2016,3022.0
"Нараховано в середньому штатному працівнику, за період часу",Місяць,Жінки,Україна,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Річна,Гривня,Одиниці,Нуль,,"1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.",,Немає пропусків,2016,3304.0
"Нараховано в середньому штатному працівнику, за період часу",Місяць,Жінки,Україна,Професії та професійні групи,Фахівці в галузі спеціалізованої (особливої) освіти ,Річна,Гривня,Одиниці,Нуль,,"1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.",,Немає пропусків,2016,2673.0
"Нараховано в середньому штатному працівнику, за період часу",Місяць,Жінки,Україна,Професії та професійні групи,"Фахівці, що керують суднами  та літальними апаратами і забезпечують судноплавство та польоти",Річна,Гривня,Одиниці,Нуль,,"1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.",,Немає пропусків,2016,13786.0
"Нараховано в середньому штатному працівнику, за період часу",Місяць,Жінки,Україна,Вид економічної діяльності,Усього,Річна,Гривня,Одиниці,Нуль,,"1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.",,Немає пропусків,2016,4229.0
"Нараховано в середньому штатному працівнику, за період часу",Місяць,Жінки,Україна,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Річна,Гривня,Одиниці,Нуль,,"1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.",,Немає пропусків,2016,4508.0
"Нараховано в середньому штатному працівнику, за період часу",Місяць,Жінки,Україна,Професії та професійні групи,Інші фахівці ,Річна,Гривня,Одиниці,Нуль,,"1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.",,Немає пропусків,2016,5145.0
"Нараховано в середньому штатному працівнику, за період часу",Місяць,Жінки,Україна,Професії та професійні групи,"Менеджери (управителі) в освіті, охороні здоров'я та соціальній сфері",Річна,Гривня,Одиниці,Нуль,,"1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.",,Немає пропусків,2016,7482.0
"Нараховано в середньому штатному працівнику, за період часу",Місяць,Жінки,Україна,Професії та професійні групи,Викладачі університетів та  вищих навчальних закладів ,Річна,Гривня,Одиниці,Нуль,,"1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.",,Немає пропусків,2016,5808.0
"Нараховано в середньому штатному працівнику, за період часу",Місяць,Жінки,Україна,Професії та професійні групи,Інші професіонали в галузі  навчання,Річна,Гривня,Одиниці,Нуль,,"1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.",,Немає пропусків,2016,4189.0
